Cidade,area,quartos,banheiro,estacionamento,animais,Valor do Aluguel,Iptu,Seguranca Incendio,total
Sao Paulo,64,2,2,2,acept,4500,440,58,4998
Belo Horizonte,68,2,1,1,acept,1200,27,16,1243
Belo Horizonte,75,2,2,2,not acept,2500,264,34,2798
Sao Paulo,600,4,4,4,acept,8500,3368,108,11976
Sao Paulo,63,2,2,0,not acept,1550,152,20,1722
Sao Paulo,145,3,4,3,not acept,6000,750,77,6827
Sao Paulo,85,2,2,2,not acept,2800,292,36,3128
Sao Paulo,254,4,4,4,acept,9000,1800,115,10915
Porto Alegre,350,4,4,4,acept,9000,359,160,9519
Sao Paulo,300,4,4,3,acept,3500,584,53,4137
Belo Horizonte,296,4,3,2,acept,13500,423,222,14145
Sao Paulo,64,2,2,2,acept,2800,30,36,2866
Sao Paulo,133,3,2,0,acept,2957,38,38,3033
Campinas,44,1,1,0,acept,550,12,7,569
Campinas,240,3,4,2,acept,3000,250,46,3296
Porto Alegre,70,3,2,1,acept,2500,8,37,2545
Sao Paulo,22,1,1,0,acept,2050,45,26,2121
Porto Alegre,50,1,1,1,acept,950,50,14,1014
Porto Alegre,67,3,2,2,acept,2200,50,33,2283
Sao Paulo,31,1,1,0,acept,2300,0,30,2330
Rio de Janeiro,90,2,1,1,acept,3468,191,45,3704
Rio de Janeiro,109,3,3,1,acept,3800,300,49,4149
Belo Horizonte,400,4,2,2,not acept,2500,74,41,2615
Sao Paulo,300,4,5,4,acept,14000,1167,211,15378
Campinas,284,4,3,3,acept,6000,483,77,6560
Porto Alegre,70,2,1,1,acept,2400,30,36,2466
Rio de Janeiro,309,4,5,4,acept,6500,682,84,7266
Sao Paulo,70,2,1,0,acept,2100,134,32,2266
Sao Paulo,360,3,4,1,acept,10000,584,127,10711
Sao Paulo,30,1,1,1,not acept,1500,0,20,1520
Campinas,80,2,2,2,acept,2200,171,28,2399
Belo Horizonte,133,4,4,3,not acept,7000,800,94,7894
Sao Paulo,38,1,1,1,not acept,2800,279,36,3115
Sao Paulo,73,2,2,1,acept,3500,100,45,3645
Sao Paulo,155,3,4,2,acept,2000,150,26,2176
Sao Paulo,63,2,2,1,acept,3200,50,41,3291
Sao Paulo,58,2,1,1,acept,1400,0,18,1418
Sao Paulo,48,1,1,0,not acept,3450,0,44,3494
Sao Paulo,210,3,4,3,acept,2790,834,36,3660
Belo Horizonte,100,3,2,2,acept,1600,183,22,1805
Sao Paulo,94,3,2,2,acept,3570,140,46,3756
Sao Paulo,94,3,3,2,acept,5010,395,64,5469
Sao Paulo,76,3,1,1,acept,2500,267,32,2799
Sao Paulo,192,3,3,2,acept,7800,634,99,8533
Sao Paulo,217,3,4,3,acept,6500,0,83,6583
Sao Paulo,68,2,1,1,acept,1400,35,18,1453
Sao Paulo,110,3,2,2,acept,2400,247,31,2678
Belo Horizonte,95,2,2,1,acept,1600,164,22,1786
Sao Paulo,900,4,6,8,acept,15000,4417,226,19643
Sao Paulo,34,1,1,0,not acept,1200,45,16,1261
Sao Paulo,192,3,4,3,acept,8000,0,102,8102
Porto Alegre,62,2,2,1,acept,1800,75,27,1902
Sao Paulo,180,3,3,4,acept,3700,184,56,3940
Campinas,44,1,1,0,acept,916,12,12,940
Belo Horizonte,100,2,1,1,not acept,1700,116,23,1839
Rio de Janeiro,140,3,3,1,not acept,1370,100,18,1488
Sao Paulo,170,3,3,3,acept,2800,648,36,3484
Sao Paulo,100,3,2,2,not acept,1600,150,25,1775
Sao Paulo,75,3,2,2,acept,1600,82,21,1703
Rio de Janeiro,52,2,1,0,acept,1200,43,16,1259
Campinas,999,5,7,8,acept,14000,667,211,14878
Sao Paulo,270,4,4,4,acept,7000,1500,89,8589
Belo Horizonte,50,2,1,1,acept,930,60,13,1003
Campinas,200,3,3,2,acept,2210,184,34,2428
Sao Paulo,71,2,2,0,acept,1920,100,25,2045
Sao Paulo,500,5,4,6,acept,13000,250,196,13446
Sao Paulo,60,2,1,0,acept,1080,94,17,1191
Sao Paulo,110,2,1,0,acept,1300,84,17,1401
Sao Paulo,210,3,3,4,acept,3294,276,50,3620
Sao Paulo,220,3,4,3,acept,6000,996,77,7073
Belo Horizonte,200,3,2,5,not acept,4000,204,66,4270
Sao Paulo,130,3,4,3,acept,4250,502,54,4806
Sao Paulo,65,2,2,2,acept,4000,245,51,4296
Sao Paulo,96,3,2,2,acept,3200,250,41,3491
Sao Paulo,660,4,5,5,acept,20000,1750,254,22004
Rio de Janeiro,107,3,2,0,acept,3200,270,42,3512
Rio de Janeiro,105,3,2,0,acept,2200,9,29,2238
Rio de Janeiro,100,3,2,0,acept,3290,109,43,3442
Sao Paulo,287,3,4,4,acept,9000,430,136,9566
Campinas,24,1,1,0,not acept,1180,9,15,1204
Sao Paulo,22,1,1,0,not acept,976,0,15,991
Sao Paulo,70,1,1,1,not acept,2529,142,39,2710
Porto Alegre,44,1,1,1,acept,1500,17,22,1539
Sao Paulo,150,3,2,2,not acept,2500,0,38,2538
Sao Paulo,90,1,2,2,acept,2900,220,37,3157
Sao Paulo,200,4,4,2,acept,2800,830,36,3666
Sao Paulo,320,8,4,0,acept,10500,350,158,11008
Porto Alegre,90,2,1,1,not acept,1700,110,25,1835
Sao Paulo,240,4,4,3,acept,2144,834,28,3006
Sao Paulo,154,4,3,3,acept,7000,1020,89,8109
Sao Paulo,60,2,2,2,acept,3230,284,41,3555
Campinas,101,3,2,0,acept,2380,91,31,2502
Porto Alegre,140,3,4,2,not acept,3090,0,55,3145
Sao Paulo,500,4,5,8,acept,15000,1850,226,17076
Sao Paulo,110,3,3,3,acept,2350,687,30,3067
Sao Paulo,110,3,3,2,acept,4800,50,73,4923
Belo Horizonte,90,2,2,2,acept,2000,84,27,2111
Sao Paulo,384,4,6,4,not acept,15000,344,191,15535
Sao Paulo,57,2,1,1,acept,1500,67,20,1587
Sao Paulo,160,3,3,2,acept,1500,419,20,1939
Sao Paulo,39,1,1,0,acept,1250,19,16,1285
Campinas,78,1,2,1,acept,2290,143,30,2463
Porto Alegre,36,1,1,1,acept,762,15,14,791
Campinas,70,2,1,1,acept,1200,0,16,1216
Belo Horizonte,45,1,1,1,not acept,3200,0,43,3243
Sao Paulo,200,3,4,3,acept,8500,1250,108,9858
Sao Paulo,100,3,3,3,acept,4300,120,65,4485
Sao Paulo,42,1,1,1,not acept,5000,0,64,5064
Sao Paulo,280,4,4,1,acept,8000,292,102,8394
Sao Paulo,28,1,1,1,not acept,2800,42,36,2878
Sao Paulo,30,1,1,0,not acept,1826,30,24,1880
Belo Horizonte,85,3,2,1,acept,1500,88,20,1608
Campinas,83,1,1,1,not acept,1080,59,14,1153
Campinas,85,3,2,2,acept,3300,150,42,3492
Belo Horizonte,90,3,2,2,acept,1600,105,22,1727
Belo Horizonte,50,2,1,0,acept,900,100,12,1012
Rio de Janeiro,50,1,1,0,acept,2900,134,38,3072
Belo Horizonte,300,3,2,3,not acept,6700,539,110,7349
Porto Alegre,39,1,1,0,acept,850,27,13,890
Sao Paulo,750,4,4,6,acept,15000,2084,226,17310
Porto Alegre,60,2,1,0,acept,1100,46,17,1163
Rio de Janeiro,68,2,1,0,not acept,1250,9,17,1276
Sao Paulo,70,2,1,1,acept,1250,50,16,1316
Sao Paulo,90,2,2,1,acept,6500,89,83,6672
Rio de Janeiro,258,5,6,0,acept,8700,670,133,9503
Sao Paulo,200,2,2,6,acept,4500,292,68,4860
Sao Paulo,123,2,2,2,acept,2990,625,38,3653
Sao Paulo,127,3,2,2,acept,2150,67,33,2250
Belo Horizonte,180,4,2,2,acept,1800,210,30,2040
Sao Paulo,110,3,2,0,not acept,2900,384,44,3328
Rio de Janeiro,70,2,2,1,acept,1719,77,23,1819
Sao Paulo,35,1,1,1,acept,3000,130,39,3169
Sao Paulo,219,3,2,2,acept,2900,150,44,3094
Rio de Janeiro,25,1,1,0,acept,700,0,10,710
Rio de Janeiro,170,4,5,0,acept,7100,639,92,7831
Rio de Janeiro,45,1,1,0,acept,1570,98,21,1689
Belo Horizonte,420,4,4,2,not acept,7000,200,115,7315
Porto Alegre,46,1,1,0,acept,1040,48,16,1104
Sao Paulo,145,3,3,2,acept,5800,250,74,6124
Belo Horizonte,59,2,2,1,acept,1100,59,15,1174
Belo Horizonte,225,4,3,0,acept,7500,466,100,8066
Sao Paulo,210,4,4,3,acept,4675,1110,60,5845
Porto Alegre,76,1,1,0,acept,1249,52,19,1320
Sao Paulo,220,3,4,3,not acept,5150,1250,66,6466
Sao Paulo,109,3,2,2,acept,2500,134,32,2666
Belo Horizonte,95,2,1,1,acept,1000,120,14,1134
Sao Paulo,32,1,1,0,not acept,1500,50,20,1570
Sao Paulo,480,4,6,5,acept,15000,3063,191,18254
Sao Paulo,53,1,1,1,acept,4390,200,56,4646
Sao Paulo,40,1,1,0,not acept,780,17,12,809
Sao Paulo,50,1,1,1,acept,3223,100,41,3364
Sao Paulo,60,1,1,0,acept,1300,255,20,1575
Porto Alegre,64,2,2,2,not acept,1500,50,22,1572
Rio de Janeiro,140,3,3,2,acept,12000,535,155,12690
Sao Paulo,121,3,3,1,acept,2040,334,26,2400
Campinas,43,1,1,1,acept,2100,84,27,2211
Sao Paulo,20,1,1,1,not acept,1360,0,18,1378
Campinas,58,2,1,1,acept,950,11,13,974
Belo Horizonte,570,5,6,7,acept,8330,873,137,9340
Sao Paulo,88,2,1,1,acept,2790,0,36,2826
Sao Paulo,89,3,2,2,acept,6000,184,77,6261
Porto Alegre,47,1,1,1,not acept,2200,0,33,2233
Sao Paulo,40,1,1,0,acept,1100,50,17,1167
Rio de Janeiro,40,1,1,0,acept,1950,91,26,2067
Rio de Janeiro,60,1,2,1,acept,750,80,10,840
Sao Paulo,25,1,1,0,acept,1650,0,21,1671
Porto Alegre,50,2,1,0,acept,1130,30,17,1177
Porto Alegre,90,3,1,0,acept,1130,55,17,1202
Sao Paulo,173,3,3,3,acept,2000,825,26,2851
Campinas,91,3,2,2,acept,2250,175,29,2454
Sao Paulo,90,3,2,2,not acept,1200,109,16,1325
Sao Paulo,530,5,6,4,acept,15000,5000,191,20191
Belo Horizonte,155,1,4,0,not acept,2790,64,38,2892
Sao Paulo,40,1,1,0,not acept,1300,0,17,1317
Sao Paulo,296,4,5,3,acept,15000,0,191,15191
Sao Paulo,87,3,2,1,acept,1400,200,18,1618
Sao Paulo,300,3,3,5,acept,5000,584,76,5660
Sao Paulo,136,3,3,3,acept,4206,364,54,4624
Sao Paulo,52,2,1,0,acept,1340,0,17,1357
Porto Alegre,94,2,2,2,acept,2900,230,43,3173
Rio de Janeiro,300,4,5,3,acept,12750,750,165,13665
Rio de Janeiro,100,3,3,1,acept,3229,100,42,3371
Sao Paulo,500,4,6,3,acept,7300,2536,110,9946
Sao Paulo,240,3,4,3,acept,4950,1000,63,6013
Belo Horizonte,308,2,3,3,acept,2000,171,33,2204
Sao Paulo,350,4,5,4,acept,4590,1334,59,5983
Sao Paulo,75,2,2,0,acept,1450,0,19,1469
Sao Paulo,155,3,2,3,acept,11700,667,149,12516
Sao Paulo,260,3,5,4,acept,6000,1468,77,7545
Sao Paulo,80,2,2,1,not acept,1500,184,23,1707
Rio de Janeiro,85,3,1,1,acept,1998,87,26,2111
Sao Paulo,120,2,2,2,not acept,3500,375,45,3920
Sao Paulo,100,2,2,1,acept,1970,0,30,2000
Sao Paulo,240,4,5,4,not acept,3500,717,45,4262
Sao Paulo,360,7,6,6,acept,5270,245,80,5595
Sao Paulo,42,1,1,0,not acept,1100,0,17,1117
Sao Paulo,33,1,1,1,acept,2800,112,36,2948
Rio de Janeiro,48,1,1,0,not acept,1020,53,14,1087
Rio de Janeiro,36,1,1,0,acept,1130,42,15,1187
Sao Paulo,270,6,3,6,acept,4500,417,68,4985
Campinas,75,2,1,1,acept,1200,121,16,1337
Rio de Janeiro,46,2,1,0,not acept,1600,0,21,1621
Sao Paulo,350,3,3,3,not acept,10000,1292,151,11443
Porto Alegre,131,3,3,1,acept,1750,121,26,1897
Campinas,90,3,2,1,acept,1300,129,17,1446
Rio de Janeiro,26,1,1,0,not acept,1650,120,22,1792
Rio de Janeiro,44,1,1,0,acept,1100,14,15,1129
Sao Paulo,70,2,2,0,acept,1880,0,29,1909
Belo Horizonte,40,1,1,0,not acept,900,0,15,915
Belo Horizonte,320,4,2,4,acept,3200,206,53,3459
Sao Paulo,213,2,2,3,acept,5150,0,78,5228
Sao Paulo,80,2,1,0,not acept,1100,0,14,1114
Campinas,70,1,1,0,acept,800,30,11,841
Rio de Janeiro,60,2,1,1,acept,1500,25,20,1545
Sao Paulo,270,4,4,4,acept,12850,1834,163,14847
Rio de Janeiro,70,2,1,1,acept,1300,44,17,1361
Porto Alegre,300,6,2,2,acept,6000,242,107,6349
Sao Paulo,220,4,5,3,acept,12000,750,153,12903
Porto Alegre,64,2,2,2,acept,1600,34,24,1658
Rio de Janeiro,80,3,3,1,not acept,1470,0,19,1489
Sao Paulo,56,1,1,0,acept,2500,81,32,2613
Sao Paulo,161,4,3,2,acept,10000,467,127,10594
Sao Paulo,35,1,1,0,acept,1350,0,18,1368
Sao Paulo,720,4,6,5,acept,12750,2613,192,15555
Sao Paulo,280,4,5,4,not acept,3200,750,41,3991
Porto Alegre,96,3,2,0,acept,2100,84,31,2215
Campinas,236,3,4,4,acept,11000,440,140,11580
Sao Paulo,81,3,2,1,acept,1510,0,20,1530
Sao Paulo,62,2,1,1,acept,1650,92,21,1763
Belo Horizonte,125,3,2,0,acept,1200,69,16,1285
Sao Paulo,37,1,1,1,acept,4150,110,53,4313
Sao Paulo,60,2,2,1,acept,4000,200,51,4251
Sao Paulo,230,4,2,3,acept,5000,1551,64,6615
Sao Paulo,210,4,5,2,acept,8500,0,108,8608
Sao Paulo,450,4,3,8,acept,14000,175,211,14386
Sao Paulo,234,3,5,4,acept,3680,400,56,4136
Belo Horizonte,135,4,3,2,not acept,2450,308,33,2791
Sao Paulo,395,4,5,3,acept,6000,122,91,6213
Porto Alegre,92,2,2,1,acept,1700,67,25,1792
Sao Paulo,412,3,5,6,acept,3952,459,51,4462
Sao Paulo,42,1,1,1,acept,5300,100,68,5468
Sao Paulo,33,1,1,0,not acept,3000,125,39,3164
Porto Alegre,28,2,1,1,acept,600,0,11,611
Sao Paulo,190,4,4,2,not acept,4450,223,67,4740
Sao Paulo,165,4,3,3,acept,6300,1292,80,7672
Porto Alegre,44,1,1,0,acept,1200,20,18,1238
Sao Paulo,60,2,1,1,acept,1275,109,17,1401
Sao Paulo,380,3,3,2,acept,11000,1084,140,12224
Rio de Janeiro,73,2,1,0,acept,830,120,11,961
Belo Horizonte,19,1,1,0,acept,1100,85,15,1200
Campinas,230,3,5,4,acept,7500,0,96,7596
Porto Alegre,37,1,1,1,acept,2500,0,37,2537
Sao Paulo,124,3,2,3,acept,6600,300,84,6984
Rio de Janeiro,115,3,2,1,acept,2680,114,35,2829
Campinas,600,3,3,4,acept,5500,384,83,5967
Rio de Janeiro,700,5,5,4,acept,15000,1667,229,16896
Porto Alegre,35,1,1,0,acept,815,17,12,844
Belo Horizonte,15,1,1,0,not acept,1100,0,15,1115
Campinas,80,3,2,1,acept,1450,125,19,1594
Porto Alegre,48,1,1,0,acept,700,38,11,749
Belo Horizonte,96,3,2,1,acept,1500,137,20,1657
Sao Paulo,150,3,2,1,acept,6715,340,86,7141
Belo Horizonte,105,3,2,2,not acept,3300,390,44,3734
Belo Horizonte,204,4,4,4,not acept,10000,760,134,10894
Rio de Janeiro,125,3,1,2,acept,2600,170,33,2803
Rio de Janeiro,50,2,1,0,not acept,2300,50,30,2380
Sao Paulo,250,3,4,3,not acept,3740,234,57,4031
Sao Paulo,300,3,4,3,acept,2000,1250,26,3276
Sao Paulo,80,2,1,1,acept,1500,55,23,1578
Rio de Janeiro,130,3,4,1,not acept,1400,334,19,1753
Sao Paulo,120,2,3,0,acept,3300,195,42,3537
Sao Paulo,540,3,3,4,acept,15000,3500,191,18691
Sao Paulo,23,1,1,0,acept,2100,41,27,2168
Sao Paulo,15,1,1,0,not acept,2500,0,32,2532
Sao Paulo,72,1,2,2,acept,4000,200,51,4251
Rio de Janeiro,95,3,2,2,acept,2300,122,30,2452
Sao Paulo,330,4,5,4,acept,10000,1119,127,11246
Sao Paulo,75,2,2,2,not acept,6600,400,84,7084
Sao Paulo,53,1,1,1,acept,4398,200,56,4654
Sao Paulo,178,3,2,1,not acept,1900,180,25,2105
Sao Paulo,150,3,2,0,acept,4000,24,61,4085
Sao Paulo,50,2,1,1,acept,1200,30,16,1246
Sao Paulo,150,3,2,1,not acept,2500,59,38,2597
Porto Alegre,25,1,1,0,acept,984,11,15,1010
Sao Paulo,210,3,4,4,not acept,12000,1155,153,13308
Belo Horizonte,75,3,2,1,acept,1500,75,20,1595
Belo Horizonte,200,2,4,3,acept,15000,827,200,16027
Sao Paulo,350,4,4,0,acept,8000,989,121,9110
Porto Alegre,49,2,1,1,acept,1150,30,17,1197
Porto Alegre,40,1,1,0,not acept,2000,0,30,2030
Sao Paulo,45,1,1,1,not acept,4200,350,54,4604
Sao Paulo,46,1,1,1,not acept,7600,118,97,7815
Sao Paulo,80,2,2,2,acept,11000,0,140,11140
Sao Paulo,30,1,1,0,acept,2850,0,37,2887
Sao Paulo,80,2,2,2,acept,2200,173,34,2407
Rio de Janeiro,105,2,2,1,acept,1530,134,20,1684
Belo Horizonte,105,3,2,2,acept,2000,219,27,2246
Sao Paulo,114,3,1,0,acept,2570,150,39,2759
Sao Paulo,200,3,3,4,acept,7000,425,106,7531
Porto Alegre,120,3,3,2,acept,3000,167,44,3211
Sao Paulo,60,2,2,1,acept,4000,21,51,4072
Sao Paulo,90,2,1,1,acept,3000,50,39,3089
Rio de Janeiro,53,2,1,0,not acept,1800,50,24,1874
Sao Paulo,80,2,2,5,acept,3000,59,46,3105
Campinas,87,4,2,2,acept,1600,106,21,1727
Rio de Janeiro,110,3,1,1,acept,5000,188,65,5253
Belo Horizonte,113,4,2,1,acept,4000,429,54,4483
Sao Paulo,170,3,2,2,not acept,5000,423,64,5487
Sao Paulo,150,3,2,0,not acept,3000,42,39,3081
Porto Alegre,60,2,2,1,acept,1500,51,22,1573
Porto Alegre,43,1,1,0,not acept,2100,66,31,2197
Sao Paulo,130,3,2,2,acept,3500,0,45,3545
Sao Paulo,69,3,2,0,acept,1900,185,25,2110
Campinas,306,3,2,2,acept,2500,422,38,2960
Sao Paulo,187,3,2,3,acept,3500,193,53,3746
Sao Paulo,385,3,4,3,acept,9000,1500,136,10636
Sao Paulo,355,4,4,3,acept,7300,660,110,8070
Porto Alegre,90,2,1,1,acept,1100,380,17,1497
Sao Paulo,190,3,4,4,acept,5000,275,76,5351
Campinas,181,2,1,2,acept,1400,132,22,1554
Sao Paulo,350,3,5,4,acept,3490,1750,45,5285
Belo Horizonte,168,5,3,2,acept,2900,408,39,3347
Rio de Janeiro,73,2,1,0,acept,2800,204,37,3041
Sao Paulo,378,5,5,4,acept,3000,2000,39,5039
Campinas,60,2,1,1,acept,1300,180,20,1500
Belo Horizonte,362,4,5,0,not acept,15000,1975,200,17175
Sao Paulo,90,3,2,0,acept,1700,136,26,1862
Rio de Janeiro,42,1,1,0,not acept,1973,79,26,2078
Rio de Janeiro,56,2,1,1,acept,1000,88,13,1101
Sao Paulo,16,1,1,0,not acept,850,30,11,891
Sao Paulo,90,2,2,2,not acept,10000,0,127,10127
Belo Horizonte,67,1,1,0,acept,850,55,12,917
Sao Paulo,488,4,3,3,acept,6400,1214,82,7696
Rio de Janeiro,30,1,1,0,acept,1100,60,15,1175
Sao Paulo,290,6,3,4,acept,8000,1525,121,9646
Sao Paulo,266,3,3,4,acept,6400,1500,82,7982
Campinas,47,2,1,1,acept,900,25,12,937
Rio de Janeiro,590,6,6,2,acept,8000,975,122,9097
Sao Paulo,900,4,9,8,acept,15000,5700,226,20926
Sao Paulo,86,2,1,1,acept,2200,110,34,2344
Sao Paulo,290,3,3,2,acept,15000,1000,226,16226
Porto Alegre,84,3,2,2,acept,3300,100,49,3449
Sao Paulo,160,3,1,2,acept,5000,225,76,5301
Sao Paulo,37,1,1,0,not acept,3500,127,45,3672
Campinas,73,3,1,1,acept,850,46,11,907
Sao Paulo,350,4,5,5,acept,15000,2400,191,17591
Rio de Janeiro,57,1,1,0,acept,1100,10,15,1125
Campinas,48,1,1,0,acept,650,21,9,680
Rio de Janeiro,30,1,1,0,acept,800,25,11,836
Campinas,198,6,3,4,acept,2000,145,31,2176
Porto Alegre,47,1,1,0,not acept,1000,59,15,1074
Porto Alegre,60,2,1,1,acept,800,22,12,834
Sao Paulo,230,3,3,0,acept,5000,109,64,5173
Belo Horizonte,90,2,1,1,not acept,1520,0,25,1545
Rio de Janeiro,129,3,2,1,acept,3255,167,42,3464
Sao Paulo,240,4,4,4,acept,6672,417,85,7174
Porto Alegre,55,1,1,0,acept,1020,29,15,1064
Porto Alegre,52,1,1,0,acept,1200,42,18,1260
Sao Paulo,250,3,4,3,acept,6000,1089,77,7166
Sao Paulo,200,3,2,2,acept,10000,1121,127,11248
Belo Horizonte,312,4,3,3,acept,2300,463,31,2794
Sao Paulo,230,5,5,3,acept,9900,620,149,10669
Sao Paulo,72,2,2,2,acept,2480,209,32,2721
Sao Paulo,55,2,1,0,acept,2400,24,31,2455
Rio de Janeiro,72,2,2,1,not acept,3600,133,47,3780
Sao Paulo,50,2,1,0,acept,1200,83,19,1302
Sao Paulo,17,1,1,0,acept,2700,5,35,2740
Belo Horizonte,160,3,3,2,acept,2400,263,32,2695
Sao Paulo,214,4,4,3,acept,6520,1187,83,7790
Rio de Janeiro,65,1,1,0,acept,1800,30,24,1854
Sao Paulo,136,3,2,1,not acept,6500,267,47,6814
Porto Alegre,70,2,2,1,acept,1900,57,28,1985
Porto Alegre,38,1,1,0,acept,650,350,10,1010
Sao Paulo,450,8,5,5,acept,8000,1000,121,9121
Rio de Janeiro,67,2,1,1,acept,2200,130,29,2359
Sao Paulo,20,1,1,0,not acept,1100,35,14,1149
Sao Paulo,41,1,1,0,acept,1530,60,20,1610
Sao Paulo,50,2,1,1,acept,1550,7,20,1577
Sao Paulo,205,3,3,3,acept,5525,575,84,6184
Sao Paulo,100,3,2,1,acept,3300,500,50,3850
Sao Paulo,190,3,4,4,acept,15000,1160,191,16351
Belo Horizonte,45,2,1,0,acept,1350,0,23,1373
Campinas,57,1,1,1,acept,800,66,11,877
Porto Alegre,88,1,2,2,acept,1600,40,24,1664
Sao Paulo,70,1,1,1,acept,3400,80,44,3524
Sao Paulo,76,2,2,0,acept,2800,0,36,2836
Rio de Janeiro,36,1,1,0,acept,1370,29,18,1417
Porto Alegre,61,2,2,2,acept,2500,42,37,2579
Sao Paulo,280,4,3,6,acept,12500,706,188,13394
Sao Paulo,480,5,6,3,acept,5000,1000,76,6076
